SUBURB,POSTCODE,ComCat,Region
MOUNT VERNON,2178,MOUNT VERNON2178,SYD
MOUNT VICTORIA,2786,MOUNT VICTORIA2786,SYD
MULGRAVE,2756,MULGRAVE2756,SYD
NARELLAN,2567,NARELLAN2567,SYD
NARELLAN VALE,2567,NARELLAN VALE2567,SYD
NAREMBURN,2065,NAREMBURN2065,SYD
NARRABEEN,2101,NARRABEEN2101,SYD
NARRABEEN PENINSULA,2101,NARRABEEN PENINSULA2101,SYD
NARRAWEENA,2099,NARRAWEENA2099,SYD
NARWEE,2209,NARWEE2209,SYD
NELSON,2765,NELSON2765,SYD
NEUTRAL BAY,2089,NEUTRAL BAY2089,SYD
